Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
1103341116,2015-12-21T00:00:00,1251,,,CA,200304,,HOND,PA,GY,13147 WELBY WAY,1521,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1103700150,2015-12-21T00:00:00,1435,,,CA,201512,,GMC,VN,WH,525 S MAIN ST,1C51,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1104803000,2015-12-21T00:00:00,2055,,,CA,201503,,NISS,PA,BK,200 WORLD WAY,2R2,2,8939,WHITE CURB,58,6439997.9,1802686.4
1104820732,2015-12-26T00:00:00,1515,,,CA,,,ACUR,PA,WH,100 WORLD WAY,2F11,2,0,17104h,,6440041.1,1802686.2
1105461453,2015-09-15T00:00:00,115,,,CA,200316,,CHEV,PA,BK,GEORGIA ST/OLYMPIC,1FB70,1,8069A,NO STOPPING/STANDING,93,99999,99999
1106226590,2015-09-15T00:00:00,19,,,CA,201507,,CHEV,VN,GY,SAN PEDRO S/O BOYD,1A35W,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1106500452,2015-12-17T00:00:00,1710,,,CA,201605,,MAZD,PA,BL,SUNSET/ALVARADO,217,1,8070,PARK IN GRID LOCK ZN,163,99999,99999
1106500463,2015-12-17T00:00:00,1710,,,CA,201602,,TOYO,PA,BK,SUNSET/ALVARADO,217,1,8070,PARK IN GRID LOCK ZN,163,99999,99999
1106506402,2015-12-22T00:00:00,945,,,CA,201605,,CHEV,PA,BR,721 S WESTLAKE,2A75,1,8069AA,NO STOP/STAND AM,93,99999,99999
1106506413,2015-12-22T00:00:00,1100,,,CA,201701,,NISS,PA,SI,1159 HUNTLEY DR,2A75,1,8069AA,NO STOP/STAND AM,93,99999,99999
1106506424,2015-12-22T00:00:00,1100,,,CA,201511,,FORD,TR,WH,1159 HUNTLEY DR,2A75,1,8069AA,NO STOP/STAND AM,93,99999,99999
1106506435,2015-12-22T00:00:00,1105,,,CA,201701,,CHRY,PA,GO,1159 HUNTLEY DR,2A75,1,8069AA,NO STOP/STAND AM,93,99999,99999
1106506446,2015-12-22T00:00:00,1110,,,CA,201511,,BMW,PA,BK,1200 W MIRAMAR,2A75,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1106549754,2015-12-15T00:00:00,825,,,CA,201607,,PTRB,TR,BK,4TH/STATE,CM96,1,8069A,NO STOPPING/STANDING,93,99999,99999
1107179581,2015-12-27T00:00:00,1055,,,CA,201605,,TOYO,PA,BK,3100 N HOLLYRIDGE DR,,54,8058L,PREF PARKING,68,99999,99999
1107179592,2015-12-27T00:00:00,1200,,,CA,201602,,MBNZ,PA,BK,3115 N BERENDO DR,,54,8058L,PREF PARKING,68,99999,99999
1107179603,2015-12-27T00:00:00,1400,,,CA,201611,,NISS,PA,WH,3100 N BEACHWOOD DR,,54,8058L,PREF PARKING,68,99999,99999
1107539823,2015-09-16T00:00:00,2120,,,CA,201502,,NISS,PA,,BLAINE/11TH PL,1FB95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1107539834,2015-09-16T00:00:00,1045,,,CA,,,CHEV,PA,BK,1246 S FIGUEROA ST,1L20,1,8069AP,NO STOP/STAND PM,93,99999,99999
1107780811,2015-12-22T00:00:00,1102,,,CA,201606,,HOND,PA,BK,PLATA/RAMPART,2A1,1,8069B,NO PARKING,73,99999,99999
1107780822,2015-12-22T00:00:00,1105,,,FL,201611,,FORD,PA,WH,,2A1,1,8069B,NO PARKING,73,99999,99999
1107973985,2015-12-18T00:00:00,1920,,,CA,201509,,NISS,PA,BK,VICAR/CASTLE HEIGHTS,8A95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1107973996,2015-12-18T00:00:00,1930,,,CA,201511,,HOND,PA,BK,REGENT ST/IVY ST,8A95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1107978852,2015-12-18T00:00:00,1900,,,CA,201511,,HYUN,PA,SI,1707 GLENDON AV,8A29,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1108311002,2015-12-22T00:00:00,140,,,CA,201603,,FORD,PA,RE,12113 BURBANK BL,1532,1,5200A,DSPLYPLATE A,25,99999,99999
1108311013,2015-12-22T00:00:00,150,,,CA,201610,,FORD,SU,GY,6936 AGNES AV,1514,1,5200A,DSPLYPLATE A,25,99999,99999
1108311024,2015-12-22T00:00:00,205,,,CA,201607,,MASE,PA,BL,12036 SATICOY ST,1503,1,5200A,DSPLYPLATE A,25,99999,99999
1108311035,2015-12-22T00:00:00,200,,,CA,201511,,BMW,PA,BK,7466 LAUREL CYN BL,1503,1,99,5204,25,99999,99999
1108311046,2015-12-22T00:00:00,225,,,CA,201512,,PONT,PA,SI,BURBANK BL/COLFAX AV,1535,1,5200A,DSPLYPLATE A,25,99999,99999
1108311050,2015-12-22T00:00:00,510,,,CA,201601,,TESL,PA,GY,11411 DONA PEGITA DR,,1,5200A,DSPLYPLATE A,25,99999,99999
1108319494,2015-12-22T00:00:00,135,,,CA,201601,,MBNZ,PA,WH,12355 BURBANK BL,1503,1,5200A,DSPLYPLATE A,25,99999,99999
1108321701,2015-12-21T00:00:00,926,,,CA,201510,,ACUR,PA,BK,5741 FLUTCHER AVE,15EL5,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1108321712,2015-12-21T00:00:00,935,,,CA,201506,,TOYO,PA,SI,5611 FLUTCHER AVE,15EL5,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1108321723,2015-12-21T00:00:00,1041,,,CA,201610,,HOND,PA,BK,10635 FRIAR ST,15EL5,1,8.06E+07,RED ZONE,93,6451860.6,1890192.1
1108321734,2015-12-21T00:00:00,1058,,,CA,201506,,DODG,HS,WH,WELBY WAY/VANOWEN ST,15EL5,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1108347984,2015-12-09T00:00:00,1250,,,CA,201511,,SUBA,PA,MA,GRAND AVE/57TH ST,13,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1108347995,2015-12-09T00:00:00,1300,,,CA,201511,,HYUN,PA,WH,48TH ST/GRAND AVE,13,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1109056185,2015-12-28T00:00:00,1938,WF55,,CA,201512,,ACUR,PA,GY,100 S HARPER AV,472,54,8813B,METER EXPIRED,63,99999,99999
1109056196,2015-12-28T00:00:00,1942,WF54,,CA,,,TOYO,PA,GY,100 S HARPER,472,54,8813B,METER EXPIRED,63,99999,99999
1109056200,2015-12-28T00:00:00,1951,WF177A,,CA,201604,,TOYO,PA,GY,8372 W 3RD ST,472,54,8813B,METER EXPIRED,63,99999,99999
1109056211,2015-12-28T00:00:00,1953,WF99,,CA,201603,,TOYO,PA,WH,1005 ORLANDO,472,54,8813B,METER EXPIRED,63,99999,99999
1109056222,2015-12-28T00:00:00,1955,WF100,,CA,201601,,NISS,PA,SI,100 S ORLANDO,472,54,8813B,METER EXPIRED,63,99999,99999
1109139006,2015-12-19T00:00:00,1550,,,CA,201608,,HOND,,GO,14006 RIVERSIDE DR,35MQ1,1,225078A,HANDICAP/NO DP ID,363,6429130.8,1880027.3
1109455266,2015-12-26T00:00:00,1815,,,NY,,,TOYO,PA,WH,3200 CANYON DR,,36,8603,PK IN PROH AREA,68,6467477.1,1868721
1109455270,2015-12-27T00:00:00,1815,,,CA,201603,,INFI,PA,GY,3200 CANYON DR,,36,8603,PK IN PROH AREA,68,6467477.1,1868721
1109455745,2015-12-23T00:00:00,2140,,,CA,201512,,TOYO,TR,BL,835 N ACADEMY RD,,36,8603,PK IN PROH AREA,68,6490251.3,1851321.5
1109455970,2015-12-26T00:00:00,2240,,,CA,201507,,TOYO,PA,GY,3787 MARATHON,,36,8603,PK IN PROH AREA,68,6475830.9,1853025.9
1109484191,2015-12-16T00:00:00,100,,,CA,201508,,NISS,PA,BK,TOBERMAN N/O 18TH ST,2A45,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1109484202,2015-12-16T00:00:00,135,,,CA,201510,,FORD,PA,BL,TOBERMAN/17TH ST,2A45,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1109484213,2015-12-21T00:00:00,310,,,CA,201511,,FORD,PA,RE,UNION AV/17TH ST,2A45,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1109486545,2015-12-16T00:00:00,1245,,,CA,201602,,NISS,PA,BL,2504 JAMES M WOOD,261,1,8.06E+07,RED ZONE,93,99999,99999
1109486792,2015-12-16T00:00:00,1435,,,CA,201511,,TOYO,TR,WH,VENDOME/MARATHON,2A17,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
1109704923,2015-12-28T00:00:00,845,,,CA,201606,,ACUR,PA,BK,1606 N LAUREL AV,,54,8069BS,NO PARK/STREET CLEAN,73,99999,99999
1109704934,2015-12-28T00:00:00,847,,,OR,200316,,SUBA,PA,SI,1620 N LAUREL AV,,54,8069BS,NO PARK/STREET CLEAN,73,99999,99999
1109704945,2015-12-28T00:00:00,848,,,CA,201512,,TOYO,TR,BL,1624 N LAUREL AV,,54,8069BS,NO PARK/STREET CLEAN,73,99999,99999
1109810450,2015-12-23T00:00:00,2304,,,CA,201605,,MERC,PA,WH,2551 MOTOR,,36,8603,PK IN PROH AREA,68,6438048.2,1839690.7
1109811360,2015-12-26T00:00:00,2231,,,CA,201506,,SCIO,SU,BK,1141 EAGLE VISTA DR,,36,8603,PK IN PROH AREA,68,6504463.3,1874621.5
1109812060,2015-12-22T00:00:00,2306,,,CA,201610,,GMC,VN,WH,12467 OSBORNE ST,,36,8603,PK IN PROH AREA,68,99999,99999
1109818625,2015-12-27T00:00:00,2235,,,CA,201601,,CADI,PA,BK,2551 MOTOR AVE,,34,6344K2,NO PK BET 1-3AM,68,6438048.2,1839690.7
1109926252,2015-12-18T00:00:00,738,,,CA,201508,,KIA,PA,WH,CATTARAUGUS AVE/HOLT,8A95,1,4000A1,NO EVIDENCE OF REG,50,99999,99999
