2PA,2PM,Age,All TD,FGA,FGM,Fbl TD,GS,Games,Int TD,Kr Td,Number of Records,Oth TD,Pr Td,Player,Position,Pts/G,Pts,Rec TD,Rsh TD,Salary,Sfty,Team,XPA,XPM
,,29,4,,,,16,16,,,1,,,Kirk Cousins,QB,1.5,24,,4,22500000,,MIN,,
,,,,,,,,,,,1,,,Demarcus Lawrence,DE,,,,,17143000,,DAL,,
,,,,,,,,,,,1,,,Ezekiel Ansah,DE,,,,,17143000,,DET,,
,,29,3,,,,16,16,,,1,,,Russell Wilson,QB,1.1,18,,3,15500000,,SEA,,
,,31,1,,,1,16,16,,,1,,,Calais Campbell,DE,0.4,6,,,15000000,,JAX,,
,,28,1,,,1,15,15,,,1,,,Justin Houston,LB,0.4,6,,,14750000,,KAN,,
,1,28,6,,,,16,16,,,1,,,Cam Newton,QB,2.4,38,,6,14500000,,CAR,,
,,,,,,,,,,,1,,,Ndamukong Suh,DT,,,,,14000000,,LAR,,
,,,,,,,,,,,1,,,Terrence Brooks,FS,,,,,14000000,,NYJ,,
,,,,,,,,,,,1,,,Andy Dalton,QB,,,,,13700000,,CIN,,
,,,,,,,,,,,1,,,Malik Jackson,DT,,,,,13500000,,JAX,,
,,,,,,,,,,,1,,,Josh Norman,CB,,,,,13300000,,WAS,,
,,,,,,,,,,,1,,,A.J. Bouye,CB,,,,,13000000,,JAX,,
,,33,1,,,,15,15,,,1,,,Alex Smith,QB,0.4,6,,1,13000000,,WAS,,
,,,,,,,,,,,1,,,Olivier Vernon,DE,,,,,12750000,,NYG,,
,,25,13,,,,15,15,,,1,,,DeAndre Hopkins,WR,5.2,78,13,,12500000,,HOU,,
,,,,,,,,,,,1,,,Kawann Short,DT,,,,,12500000,,CAR,,
,,,,,,,,,,,1,,,Chandler Jones,DE,,,,,12500000,,ARI,,
,,,,,,,,,,,1,,,Anthony Barr,OLB,,,,,12306000,,MIN,,
