name,AngelList_website,tagline
Knozen,https://angel.co/company/knozen,We're bringing personality to the internet
Brizi,https://angel.co/company/brizi,IoT | Sports Marketing | Tap into nearby cameras in iconic venues to capture memories.
Castle [no longer operating],https://angel.co/company/castle,Property management for the digital era
ProbaP,https://angel.co/company/probap,Flickr for Flickr
Rally,https://angel.co/company/rally-bus,Let's get there together.
AppInsight,https://angel.co/company/appinside,Safeguard for Mobile Applications
BenchSci,https://angel.co/company/scinapsis,ML platform for biological compounds 
Mylestone,https://angel.co/company/mylestone,"Your memories made easily accessible on virtual assistants, like Amazon's Echo."
HAAS Alert,https://angel.co/company/haas-alert,"Mobility service delivers real-time safety to Responders, connected and autonomous cars."
Dexter,https://angel.co/company/dexter-4,
SEEVA Technologies,https://angel.co/company/seeva-technologies,SEEVA helps drivers and automated drivers systems see the road ahead.
WizeHive,https://angel.co/company/wizehive,"The most flexible application management platform for grants, scholarships, awards & more."
Avail,https://angel.co/company/helloavail,Building a community of landlords and tenants.
Qbox.io,https://angel.co/company/qbox-io,Hosted & Managed Elasticsearch
LX Ventures,https://angel.co/company/lx-ventures,"LX Ventures launches, integrates, & acquires early stage high growth technology companies."
StyleSage,https://angel.co/company/stylesage-a-techstars-company,Fashion Meets Big Data
Car Throttle,https://angel.co/company/car-throttle,Building the fastest-growing media platform for the next generation of digital publishing.
misterb&b,https://angel.co/company/misterbandb,World's largest LGBTQA home-sharing market place
Apperio,https://angel.co/company/apperio,
Tenfold,https://angel.co/company/growtenfold,Have better customer conversations.
99.co,https://angel.co/company/99-co,Smart property search for Singapore
Vhoto,https://angel.co/company/vhoto,
RageOn!,https://angel.co/company/rageon,Merchandising Made Easy!
Pluto AI,https://angel.co/company/pluto-2,AI powered analytics platform for smart water management
Hijro,https://angel.co/company/fluent-3,The financial operating network for global commerce
Open Collective,https://angel.co/company/opencollective,"A new form of association, transparent by design."
Spatial [Techstars Detroit],https://angel.co/company/spatialai,The human layer of social intelligence
Parabola,https://angel.co/company/parabola,"Eliminate busywork. Work like an engineer, no code required. (AngelPad #9)"
Daily.co,https://angel.co/company/daily-co,"Simpler, more personal video conferencing "
TheWaveVR,https://angel.co/company/thewavevr,Social platform for VR music
Proxy Co.,https://angel.co/company/proxyco,Your digital identity for the physical world.
Accelo,https://angel.co/company/accelo,Automates Running a Professional Service Business
Blottr,https://angel.co/company/blottr,Wikipedia for news
VibeDeck,https://angel.co/company/vibedeck,Easy eCommerce for Music Makers
Voxeet,https://angel.co/company/voxeet,Enabling In-Flow Communication 
popSLATE,https://angel.co/company/popslate,"Always-on Smart Screens, Everywhere"
Hot Hotels,https://angel.co/company/hot-hotels,"Europe´s Leading Last Minute, Mobile Only, Hotel booking Platform"
DipJar,https://angel.co/company/dipjar,Changing the game of fundraising
ZappRx,https://angel.co/company/zapprx-3,Specialty Care Coordination Platform
MeetMindful,https://angel.co/company/meetmindful,Date the way you live
STREAMROOT,https://angel.co/company/streamroot,Next-generation HTML5 video optimization technology 
Netra,https://angel.co/company/netra,Brand Intelligence
ilos,https://angel.co/company/ilos,The Video Platform for Education and Training
Drafted,https://angel.co/company/drafted,Hire like a boss.
New Knowledge,https://angel.co/company/newknowledge,Fighting disinformation online
Camino Financial,https://angel.co/company/camino-financial-1,Socially responsible lender to Latino-owned businesses that cannot get a loan from a bank
Resource,https://angel.co/company/resource-io,A new standard in recruiting
VINAYA,https://angel.co/company/vinaya,Decoding emotions and maximising human potential
Cuvva,https://angel.co/company/cuvva,"Cuvva is building insurance the way it should be - flexible, simple and jargon-free."
Weengs,https://angel.co/company/weengs,A new era of e-commerce fulfilment
BloomAPI (YC W17),https://angel.co/company/bloomapi,Simplify Medical Practice Management
healthfinch,https://angel.co/company/healthfinch,We create physician productivity applications.
Ampsy,https://angel.co/company/ampsy,Hyperlocal audience intelligence & marketing platform
NeonMob,https://angel.co/company/neonmob,A marketplace for collectors and creators of digital art.
Who@,https://angel.co/company/who,The Ultimate Business Development Machine
Naseeb Networks,https://angel.co/company/naseeb-networks,
UpNest,https://angel.co/company/upnest,"Agents Compete, You Win! ™. Our realtor marketplace is changing real estate. "
MarcoPolo Learning,https://angel.co/company/marcopolo-learning,REIMAGINING KIDS MEDIA FOR THE MOBILE GENERATION
Intricately,https://angel.co/company/intricately,"Get an inside look into the spend, usage, and adoption of cloud technologies"
Gallop,https://angel.co/company/gallop,Transforming Data into Customer Intelligence
CreoPop,https://angel.co/company/creopop,Cool Ink. Infinite Creativity
AreaMetrics,https://angel.co/company/areametrics,AreaMetrics personalizes the world around you by leveraging sensors and data.
Klarismo,https://angel.co/company/klarismo,"Your body, reimagined"
PeerWell,https://angel.co/company/peerwell,Musculoskeletal Health Data Platform
Envoy - HelloEnvoy,https://angel.co/company/envoy-helloenvoy,Take better care of your parents
Citruslabs (formerly MindMate),https://angel.co/company/mindmate,Patient recruitment for the digital age
Zentist,https://angel.co/company/zentist,"A Smart, Affordable Dental Treatment That Works For You"
Clara,https://angel.co/company/clarahealth,Empower patients to find the right clinical trial for them.
Laughly,https://angel.co/company/laughly,Streaming app for comedy
EarnUp,https://angel.co/company/earnup,Intelligent loan payment automation.
WaystoCap,https://angel.co/company/waystocap,Alibaba for Africa
PostCard On The Run,https://angel.co/company/postcard-on-the-run,New Technology Delivered The Old Fashioned Way
VenueBook,https://angel.co/company/venuebook,OpenTable-like SaaS Platform for Private Event Spaces
ReplyBuy,https://angel.co/company/replybuy-com,
ScoreStream,https://angel.co/company/scorestream,Fan-driven scores and communication
Wakie Inc.,https://angel.co/company/wakie,Anonymous voice conversation app
Hire an Esquire,https://angel.co/company/hire-an-esquire-1,Legal Labor Marketplace
