date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
4/28/13,44319520.07,2556843.914,9174,73779042.16,4.3,0,22497874.35,31600,594.357571,17216,435.0557425,9658,174.6356076,0.1,4079010,632
4/29/13,36478096.6,2111820.413,9275,75216843.08,4.37,0,22841184.71,32500,634.4097411,18395,437.9378214,9542,181.67989,0.1,4977931,650
4/30/13,40391660.1,1969542.972,9099,75742334.7,4.4,0,23192593.02,31350,792.1703735,17810,437.9378214,9301,167.8636465,0.1,5349282,627
5/1/13,76374202.8,4691921.756,8990,74064136.01,4.29,0,24581006.09,31699.9795,639.972367,16991,471.1227637,9326,177.1258735,0.1,4463820,634
5/2/13,11631506.34,2501720.016,8031,65379394.84,3.78,0,24792536.7,26150,528.8035945,15769,482.5125108,8269,155.4904201,0.1,4088911,523
5/3/13,4632241.488,1964663.757,6280,58761687.94,3.39,0,24754254.31,19900,375.7290906,12956,482.5125108,6519,105.126185,0.05,3382172,398
5/4/13,5725030.204,1648315.177,6168,52494635.07,3.03,0,24753985.03,20875,374.6704375,12377,482.5125108,6334,114.3115065,0.1,3223478,418
5/5/13,6579465.338,3060323.044,5948,60562859.51,3.49,0,25192490.08,22100,317.3529699,12245,436.4210004,6060,116.4023265,0,3165698,442
5/6/13,13489738.13,4020198.059,10636,62419512.16,3.59,0,26128597.2,31850,745.3336031,18244,396.5528163,10980,136.722623,0.1,4823264,637
5/7/13,9082297.718,2615555.687,8712,58748577.49,3.37,0,26221666.16,37925,450.4812114,16710,396.5528163,9013,118.238135,0.00677266,4123225,759
5/8/13,6748147.053,1250363.07,9035,57239574.33,3.28,0,26365278.1,36500,496.3183591,16851,431.3694107,9773,124.4107213,0.1,4129160,730
5/9/13,9291190.987,1487343.818,12776,59406121.23,3.4,0,26742965.85,37050,944.5557991,20459,469.7981014,13476,99.19820997,0.1,5806489,741
5/10/13,8136961.732,1538562.301,10503,59832541.01,3.41,0,26951922.12,37000,709.356414,18054,469.7981014,11231,101.5839,0.1,4884485,740
5/11/13,18682243.09,2499308.296,7000,60740571.64,3.46,0,27302537.37,31300,405.2496122,14207,558.7199744,7738,145.9496342,0.001,3874790,626
5/12/13,8487885.824,1254319.033,6924,59096255.41,3.36,0,27414105.35,30750,377.1173053,13924,596.8873537,7660,130.4352,0.00305107,3501445,615
5/13/13,7021996.489,1203602.573,6596,57438495.59,3.26,0,27606311.52,28850,355.1599947,13620,596.8873537,7216,118.3157007,0,3522595,577
5/14/13,7571576.192,1952139.642,7218,57978731.57,3.28,0,27890256.8,29550,406.6741052,14370,599.8809217,7779,117.1084361,0.01,4357789,591
5/15/13,6523932.125,1544792.365,6500,49773625.39,2.82,0,28001237.85,27900,366.7363919,13301,605.5175912,7018,109.8760103,0.01,3315285,558
5/16/13,6475101.9,1441678.844,7434,51862886.44,2.93,0,27846204.26,28500,465.7979844,14608,605.5175912,8030,104.4251178,0.1,3809371,570
5/17/13,6079749.175,1029128.479,6638,51184775.5,2.89,0,27913178.52,26700,384.7812707,13148,605.5175912,7124,99.81296849,0.1,3405760,534
5/18/13,5818653.765,1175057.731,5660,56917975.93,3.2,0,28022039.08,27525,301.132068,11868,596.4191093,6249,110.3403453,0.00036759,3173088,551
5/19/13,5637138.599,1255563.523,5590,58760676,3.3,0,28131422.74,27150,275.6269712,11892,593.0467865,6163,128.2753496,0.01,2928165,543
5/20/13,5155162.314,1292105.933,6375,58999968.3,3.31,0,28260038.38,27400,367.0384186,13264,593.0467865,6967,100.7735263,0.01,3322274,548
5/21/13,6715033.989,1492287.917,6248,56855332.83,3.19,0,28291126.44,26900,361.0776901,12779,592.0730412,6938,119.7707731,0.01,3127223,538
5/22/13,6188331.019,1082361.539,5319,55230680.8,3.09,0,28355489.96,27900,279.2763635,11279,558.1217882,6100,136.09348,0.01,2606097,558
5/23/13,6864769.913,1050078.557,5939,55874706.42,3.12,0,28460096.23,30950,329.2023744,12400,558.1217882,6694,128.33184,0.01,3309004,619
5/24/13,7931107.217,1153487.47,5997,56838168.78,3.17,0,28517613.47,32799.92,350.3027194,12545,558.1217882,6716,155.9610315,0.01,3251810,656
5/25/13,6206968.658,1178413.415,5080,57283344.29,3.19,0,28622271.67,31350,294.1003637,11082,585.5971538,5908,142.9350787,0.01,2883784,627
5/26/13,6052556.684,1426763.166,5138,56119639.68,3.12,0,28724806.3,28500,295.7940486,11330,595.6534968,6264,136.1836517,0.01,3200954,570
5/27/13,5972393.058,1217565.49,4880,58225576.25,3.23,0,28833822.27,28000,242.3965837,10639,595.6534968,5624,141.1700152,0.01,2724652,560
5/28/13,5568496.494,1070684.844,5115,55994358.96,3.1,0,28934078.9,29150,248.4268542,11265,597.4422108,5962,123.5956155,0.01,3000086,583
5/29/13,5351765.53,1064381.748,5065,55791264.75,3.09,0,29070245.6,29450,260.3138267,10978,602.3382422,5802,130.6469772,0.01,2920171,589
5/30/13,6479936.589,1138988.493,5250,55805688.3,3.08,0,29131393.04,30700,288.9564196,11319,602.3382422,6052,142.0815403,0.01,2912857,614
5/31/13,6273037.662,1621226.602,5100,53817015.07,2.97,0,29237140.34,30000,246.780503,11152,602.3382422,5942,133.8386153,0,2711906,600
6/1/13,5622721.105,1841215.117,4260,53350661.17,2.94,0,29093575.27,28400,224.5403272,9551,621.079868,5063,125.2239393,0.01,2761666,568
6/2/13,4943299.647,1189451.082,4495,51443618.71,2.83,0,29203768.12,28350,220.7295144,9833,623.1704212,5109,127.2500255,0,2581931,567
6/3/13,5081184.229,1086650.742,4544,49674160,2.73,0,29324850.78,28050,242.6769938,10093,623.1704212,5215,120.5127911,0.00718519,2460123,561
6/4/13,4479206.909,1130789.837,4539,49225070.7,2.7,0,29429253.08,26950,252.1769107,10219,617.5897221,5215,121.2857207,0.01,2954355,539
6/5/13,5414929.169,1234965.547,4655,52514649.87,2.87,0,29477362.26,30100,279.3460876,10256,604.6025397,5362,129.0790734,0.01,3183138,602
6/6/13,4458967.792,900542.3627,4544,52816717.96,2.88,0,29549115.81,29350,226.1463698,9974,604.6025397,5536,121.3263506,0.01,2677005,587
6/7/13,6934174.969,927476.4502,4810,51045131.45,2.78,0,29634216.75,32899.96,305.3819483,10491,604.6025397,5735,137.04566,0.1,3323442,658
6/8/13,4628927.477,935588.5129,4443,47824631.56,2.6,0,29676677.94,32350,243.5944971,9718,638.1659679,5336,127.2022801,0.1,2372927,647
6/9/13,4497981.568,895415.0326,5104,46991025,2.55,0,29676738.14,27700,267.2314902,10867,638.5330679,5947,103.6013577,0.01,3522820,554
6/10/13,6152885.274,2457377.815,5420,43827744.92,2.38,0,31171089.8,28700,300.0867601,11335,638.5330679,6257,96.50095912,0.1,2992697,574
6/11/13,4578090.985,1366183.535,4798,45930453.89,2.49,0,31740835.88,28150,300.040437,13820,645.2481328,5698,99.62490812,0.01,3196641,563
6/12/13,4430416.168,1230630.45,4529,44657184.56,2.41,0,31633212.9,31850,246.1050053,9981,650.534914,5463,116.0509974,0.01,2153347,637
